,Bidding Zone,Installed Capacity [MW],Name,Production Type,Voltage Connection Level [kV]
26WIMPI-0064286E,10YIT-GRTN-----B,9.0,Bovino 1,Wind Onshore,150.0
26WIMPI-S03ATMN1,10YIT-GRTN-----B,10.0,MAZZUNNO,Hydro Run-of-river and poundage,60.0
26WIMPI-S12CNTRM,10YIT-GRTN-----B,11.0,CANTERNO,Hydro Water Reservoir,150.0
26WIMPI-S03GRLE0,10YIT-GRTN-----B,13.0,GEROLA,Hydro Water Reservoir,132.0
26WIMPI-S13MRNOB,10YIT-GRTN-----B,11.0,MORINO,Hydro Run-of-river and poundage,150.0
26WIMPI-S06WRTSZ,10YIT-GRTN-----B,12.0,WARTSILA ITALIA S.P.A,Other,132.0
26WIMPI-0493347G,10YIT-GRTN-----B,39.0,MATISSE,Wind Onshore,150.0
26WIMPI-0086915O,10YIT-GRTN-----B,11.0,C.le Idroelettrica Uvini,Hydro Run-of-river and poundage,60.0
26WIMPI-S05GRDNV,10YIT-GRTN-----B,13.0,GARDONA,Hydro Run-of-river and poundage,132.0
26WIMPI-S03SRMDD,10YIT-GRTN-----B,1151.0,SERMIDE,Fossil Gas,380.0
26WIMPI-S03AFYPH,10YIT-GRTN-----B,56.0,IMPIANTO DI PRESELEZIONE E TERMOVALORIZZAZIONE SILLA2,Other,132.0
26WIMPI-S08CDRS0,10YIT-GRTN-----B,12.0,IMPIANTO EOLICO CASONI,Wind Onshore,132.0
26WIMPI-S19IESBL,10YIT-GRTN-----B,544.0,ISAB ENERGY,Fossil Coal-derived gas,380.0
26WIMPI-S16CPNIQ,10YIT-GRTN-----B,10.0,CIPONTE 14MW,Wind Onshore,150.0
26WIMPI-0589840G,10YIT-GRTN-----B,23.0,SERRO LUNGO,Wind Onshore,150.0
26WIMPI-S03BBSR5,10YIT-GRTN-----B,9.0,GOLTARA,Other,132.0
26WIMPI-S03SFRNQ,10YIT-GRTN-----B,272.0,S.FIORANO,Hydro Pumped Storage,380.0
26WIMPI-S03UWTHS,10YIT-GRTN-----B,13.0,U.P.  WHIRLPOOL,Fossil Gas,132.0
26WIMPI-S04PMRM9,10YIT-GRTN-----B,8.0,PREMESA,Hydro Run-of-river and poundage,132.0
26WIMPI-S01PLLNA,10YIT-GRTN-----B,41.0,PALLANZENO,Hydro Run-of-river and poundage,132.0
26WIMPI-S08TDMR6,10YIT-GRTN-----B,21.0,C.LE HERA MODENA CAVAZZA,Other,132.0
26WIMPI-S05CPRT5,10YIT-GRTN-----B,15.0,CENTRALE ADRIA,Fossil Gas,20.0
26WIMPIMONICA-1D,10YIT-GRTN-----B,130.0,CEDEGOLO,Hydro Run-of-river and poundage,220.0
26WIMPI-S17PEMCE,10YIT-GRTN-----B,44.0,PARCO EOLICO MONTE CUTE,Wind Onshore,150.0
26WIMPI-07689617,10YIT-GRTN-----B,10.0,TERRE-NOVE,Wind Onshore,150.0
26WIMPI-S19PEMR9,10YIT-GRTN-----B,43.0,PARCO EOLICO MINEO,Wind Onshore,150.0
26WIMPI-S03VDSIQ,10YIT-GRTN-----B,40.0,ITA V.SERIO,Other,132.0
26WIMPI-S19MSTI2,10YIT-GRTN-----B,30.0,MISTRETTA,Wind Onshore,150.0
26WIMPI-S01CDRS5,10YIT-GRTN-----B,68.0,CADARESE,Hydro Run-of-river and poundage,132.0
26WIMPI-S13ASCNS,10YIT-GRTN-----B,43.0,S. ANGELO,Hydro Water Reservoir,150.0
26WIMPI-S13VSLLB,10YIT-GRTN-----B,60.0,VILLA S.MARIA,Hydro Run-of-river and poundage,150.0
26WIMPI-0884908C,10YIT-GRTN-----B,27.0,BIOMASSE RUSSI,Biomass,132.0
26WIMPI-S04SVLBZ,10YIT-GRTN-----B,44.0,S.VALBURGA,Hydro Run-of-river and poundage,220.0
26WIMPI-0894216Z,10YIT-GRTN-----B,14.0,Ripalonga,Wind Onshore,150.0
26WIMPI-S18BSMSR,10YIT-GRTN-----B,48.0,STRONGOLI,Other,150.0
26WIMPI-S20OZRIH,10YIT-GRTN-----B,5.0,OZIERI,Hydro Water Reservoir,150.0
26WIMPI-S01FNDVN,10YIT-GRTN-----B,9.0,FONDOVALLE,Hydro Run-of-river and poundage,132.0
26WIMPI-S12CSSND,10YIT-GRTN-----B,48.0,CASSINO,Hydro Run-of-river and poundage,150.0
26WIMPI-S13MRSCK,10YIT-GRTN-----B,26.0,MARSICA II,Wind Onshore,150.0
26WIMPI-S03SDPTS,10YIT-GRTN-----B,10.0,S.PIETRO ORZIO,Hydro Run-of-river and poundage,132.0
26WIMPI-S12ACCSE,10YIT-GRTN-----B,8.0,CASTEL MADAMA,Hydro Run-of-river and poundage,150.0
26WIMPI-S19GCDLR,10YIT-GRTN-----B,80.0,GUADALAMI C.LE,Hydro Pumped Storage,150.0
26WIMPI-S05N7V1T,10YIT-GRTN-----B,65.0,NOVE,Hydro Run-of-river and poundage,132.0
26WIMPI-S10ETDS9,10YIT-GRTN-----B,95.0,TERNI,Fossil Gas,132.0
26WIMPI-0214118E,10YIT-GRTN-----B,41.0,DELL'ALVANO E AQUILEA,Wind Onshore,220.0
26WIMPI-S05CABMG,10YIT-GRTN-----B,38.0,CA DEL BUE,Fossil Gas,132.0
26WIMZI-S10TERN0,10YIT-GRTN-----B,14.0,ARIA srl UL1,Biomass,20.0
26WIMPI-S14MCNTI,10YIT-GRTN-----B,10.0,MONTE CAVUTI,Wind Onshore,20.0
26WIMPI-S16IFMVD,10YIT-GRTN-----B,39.0,FORENZA,Wind Onshore,150.0
26WIMPI-S14LCTU3,10YIT-GRTN-----B,34.0,LUCITO,Wind Onshore,150.0
26WIMPI-S16DCNNQ,10YIT-GRTN-----B,39.0,CANDELA,Wind Onshore,380.0
26WIMPI-0304386P,10YIT-GRTN-----B,10.0,MALALBERGO,Solar,132.0
26WIMPI-0604160U,10YIT-GRTN-----B,0.0, BANZI,Wind Onshore,150.0
26WIMPI-S16PEOPP,10YIT-GRTN-----B,26.0,PARCO EOLICO ORDONA,Wind Onshore,150.0
26WIMPII-NOCE-1C,10YIT-GRTN-----B,161.0,TAIO,Hydro Water Reservoir,220.0
26WIMPI-S15NLPLI,10YIT-GRTN-----B,400.0,NAPOLI L,Fossil Gas,220.0
26WIMPI-0030296C,10YIT-GRTN-----B,12.0,CENTRALE SACCO_1,Biomass,132.0
26WIMPI-0473736H,10YIT-GRTN-----B,25.0,Parco Vecchio - Valle Cancelli - Ripa,Wind Onshore,150.0
26WIMPI-S12PNTM4,10YIT-GRTN-----B,9.0,PONTEFIUME,Hydro Run-of-river and poundage,20.0
26WIMPI-S08SLSM8,10YIT-GRTN-----B,15.0,SALSOMINORE,Hydro Run-of-river and poundage,132.0
26WIMPI-S16CSSCB,10YIT-GRTN-----B,421.0,RATINO,Fossil Gas,380.0
26WIMPI-S03LDRG9,10YIT-GRTN-----B,9.0,LUDRIGNO DER. SERIO,Hydro Run-of-river and poundage,132.0
26WIMPI-0305585E,10YIT-GRTN-----B,18.0,Vaprio d'adda,Hydro Run-of-river and poundage,132.0
26WIMPI-0679327R,10YIT-GRTN-----B,22.0,Segheria Nuova,Wind Onshore,150.0
26WIMPI-S19SDMCS,10YIT-GRTN-----B,866.0,SAN FILIPPO DEL MELA ,Fossil Oil,220.0
26WIMPI-S09B3GN8,10YIT-GRTN-----B,20.0,BAGNORE 3,Geothermal,132.0
26WIMPI-0157973G,10YIT-GRTN-----B,14.0,De Nittis 3,Solar,150.0
26WIMPI-S01SASMK,10YIT-GRTN-----B,11.0,SUSA,Hydro Run-of-river and poundage,132.0
26WIMPI-S20SDNLH,10YIT-GRTN-----B,65.0,LITTIGHEDDU,Wind Onshore,150.0
26WIMPI-0077109F,10YIT-GRTN-----B,18.0,BiOlevano biomassa,Biomass,132.0
26WIMPI-S01TRNVI,10YIT-GRTN-----B,7.0,TORNAVENTO,Hydro Run-of-river and poundage,132.0
26WIMPI-S18MSLSC,10YIT-GRTN-----B,50.0,MELISSA,Wind Onshore,150.0
26WIMPI-S01CMPLQ,10YIT-GRTN-----B,8.0,CAMPLICCIOLI,Hydro Water Reservoir,15.0
26WIMPI-S19V1CRO,10YIT-GRTN-----B,38.0,CENTRALE EOLICA VICARI UNO,Wind Onshore,150.0
26WIMPI-V20IVVPD,10YIT-GRTN-----B,28.0,Aggius 3 Viddalba 2,Wind Onshore,150.0
26WIMPI-S03OSTG2,10YIT-GRTN-----B,1123.0,OSTIGLIA,Fossil Gas,380.0
26WIMPI-08737107,10YIT-GRTN-----B,18.0,Tor di Valle MCI,Fossil Gas,150.0
26WIMPI-S16MDCR2,10YIT-GRTN-----B,15.0,MURGE,Wind Onshore,150.0
26WIMPI-S19LECDD,10YIT-GRTN-----B,22.0,LICODIA EUBEA,Wind Onshore,150.0
26WIMPI-S05CVLLF,10YIT-GRTN-----B,24.0,CAVILLA,Hydro Water Reservoir,132.0
26WIMPI-S08CCVRV,10YIT-GRTN-----B,10.0,FAENZA CONVERTITE,Other,132.0
26WIMPI-S11ACPNS,10YIT-GRTN-----B,240.0,API ENERGIA IGCC,Fossil Gas,132.0
26WIMPI-0364390Z,10YIT-GRTN-----B,25.0,Alfonsine 2,Solar,132.0
26WIMPI-S05ZTGNU,10YIT-GRTN-----B,0.0,Zignago Power,Biomass,10.0
26WIMPI-S02FBRGG,10YIT-GRTN-----B,10.0,Faubourg,Hydro Run-of-river and poundage,132.0
26WIMPI-0605986C,10YIT-GRTN-----B,13.0,TERMOVALORIZZATORE PBZ,Biomass,60.0
26WIMPI-S09FRNLN,10YIT-GRTN-----B,55.0,FARINELLO,Geothermal,132.0
26WIMPI-S01ACCGE,10YIT-GRTN-----B,19.0,ACCEGLIO,Hydro Run-of-river and poundage,132.0
26WIMPI-04242114,10YIT-GRTN-----B,28.0,Ortanova loc. Santo Spirito,Wind Onshore,150.0
26WIMPI-06684162,10YIT-GRTN-----B,18.0,CONTE,Wind Onshore,150.0
26WIMPI-S19CVZZP,10YIT-GRTN-----B,10.0,COZZO VALLEFONDI 1,Wind Onshore,20.0
26WIMPI-0066050X,10YIT-GRTN-----B,395.0,TORINO NORD,Fossil Gas,220.0
26WIMPI-0159541Z,10YIT-GRTN-----B,15.0,COSTA GRANDE,Wind Onshore,150.0
26WIMPI-S18P2LZD,10YIT-GRTN-----B,46.0,PALAZZO 2,Hydro Run-of-river and poundage,150.0
26WIMPI-0650377W,10YIT-GRTN-----B,22.0,Tarifa,Wind Onshore,150.0
26WIMPI-S14CTYT4,10YIT-GRTN-----B,13.0,TERMOLI 2,Biomass,150.0
26WIMPI-S01FCNU2,10YIT-GRTN-----B,13.0,FUCINE,Hydro Run-of-river and poundage,132.0
26WIMPI-S04CRDA9,10YIT-GRTN-----B,121.0,CARDANO,Hydro Run-of-river and poundage,220.0
26WIMPI-S09PEPA4,10YIT-GRTN-----B,20.0,PARCO EOLICO POGGI ALTI,Wind Onshore,132.0
26WIMPI-S16BSCRY,10YIT-GRTN-----B,2420.0,BRINDISI SUD CE,Fossil Hard coal,380.0
26WIMPI-04586651,10YIT-GRTN-----B,64.0,S.ANNA_012,Wind Onshore,150.0
26WIMPI-0417217K,10YIT-GRTN-----B,24.0,Tirsole 25Mwp ,Solar,220.0
26WIMPI-S05SVNRS,10YIT-GRTN-----B,13.0,SAVINER,Hydro Run-of-river and poundage,132.0
26WIMPI-S01VNDI6,10YIT-GRTN-----B,60.0,VINADIO,Hydro Run-of-river and poundage,132.0
26WIMPI-S04RDGLX,10YIT-GRTN-----B,119.0,RIVA DEL GARDA - NUOVO,Hydro Pumped Storage,132.0
26WIMPI-0637955W,10YIT-GRTN-----B,10.0,Apecchio - Monte dei Sospiri,Wind Onshore,132.0
26WIMPI-0198971S,10YIT-GRTN-----B,20.0,Trapani Contrada Coniglia,Wind Onshore,150.0
26WIMPI-S04CMRNZ,10YIT-GRTN-----B,13.0,CURON,Hydro Run-of-river and poundage,132.0
26WIMPI-S05ZVEI1,10YIT-GRTN-----B,16.0,ZEVIO,Hydro Run-of-river and poundage,132.0
26WIMPI-S18S1TRV,10YIT-GRTN-----B,24.0,SATRIANO 1S,Hydro Run-of-river and poundage,150.0
26WIMPI-S02MNAEP,10YIT-GRTN-----B,44.0,MAEN,Other,132.0
26WIMPI-S05SVRZ0,10YIT-GRTN-----B,214.0,SOVERZENE,Hydro Water Reservoir,220.0
26WIMYI-S16PTRMB,10YIT-GRTN-----B,48.0,IMPIANTO EOLICO PIETRAMONTECORVINO,Wind Onshore,150.0
26WIMPI-0770583A,10YIT-GRTN-----B,18.0,BUTERA2,Wind Onshore,150.0
26WIMPI-S04CTNT7,10YIT-GRTN-----B,27.0,CENTRALE TEL,Hydro Run-of-river and poundage,60.0
26WIMPI-0602383K,10YIT-GRTN-----B,10.0,Parco Eolico Torre di Ruggiero ,Wind Onshore,20.0
26WIMPI-S03UDTRA,10YIT-GRTN-----B,9.0,DARFO,Hydro Run-of-river and poundage,132.0
26WIMPI-S18PEPDY,10YIT-GRTN-----B,44.0,PARCO EOLICO PIANO DI CORDA,Wind Onshore,150.0
26WIMPI-S04TRBLJ,10YIT-GRTN-----B,110.0,TORBOLE,Hydro Run-of-river and poundage,220.0
26WIMPI-S15F2NON,10YIT-GRTN-----B,70.0,FOIANO2,Wind Onshore,150.0
26WIMPI-0760710Z,10YIT-GRTN-----B,61.0,Impianto di Bolgiano,Fossil Gas,132.0
26WIMPI-S13BLSRW,10YIT-GRTN-----B,15.0,BALSORANO,Hydro Run-of-river and poundage,150.0
26WIMPI-0361630J,10YIT-GRTN-----B,44.0,TERMICA COLLEFERRO,Fossil Gas,150.0
26WIMPIALENCO-1B,10YIT-GRTN-----B,350.0,LANZADA,Hydro Water Reservoir,220.0
26WIMPI-S18EADS0,10YIT-GRTN-----B,808.0,ALTOMONTE,Fossil Gas,380.0
26WIMPI-01094203,10YIT-GRTN-----B,20.0,VILLA CASTELLI WF,Wind Onshore,220.0
26WIMPI-0848721W,10YIT-GRTN-----B,44.0,CHPP-Augusta,Fossil Gas,150.0
26WIMPI-S13P1SCZ,10YIT-GRTN-----B,10.0,PESCARA 1S,Hydro Run-of-river and poundage,150.0
26WIMPI-S08SBMRJ,10YIT-GRTN-----B,22.0,CENTRALE A BIOMASSE BANDO D'ARGENTA,Biomass,132.0
26WIMPI-S05CSTM1,10YIT-GRTN-----B,54.0,CASTELMASSA,Fossil Gas,132.0
26WIMPI-S01SDMNO,10YIT-GRTN-----B,12.0,S.DAMIANO,Hydro Run-of-river and poundage,132.0
26WIMPI-S06SMNRL,10YIT-GRTN-----B,15.0,SAN MARCO,Wind Onshore,150.0
26WIMPI-S15MTDD6,10YIT-GRTN-----B,352.0,MADDALONI T.GAS,Fossil Gas,220.0
26WIMPI-S04CENRY,10YIT-GRTN-----B,26.0,IMPIANTO IDROELETTRICO DEL PASSIRIO,Hydro Run-of-river and poundage,132.0
26WIMPI-S20EONCO,10YIT-GRTN-----B,80.0,AES OTTANA ENERGIA S.R.L,Fossil Oil,220.0
26WIMPI-S03TLMNC,10YIT-GRTN-----B,18.0,TALAMONA,Hydro Run-of-river and poundage,60.0
26WIMPI-S20CGNTW,10YIT-GRTN-----B,98.0,CENTRALE GRIGHINE,Wind Onshore,220.0
26WIMPI-S03TSRBU,10YIT-GRTN-----B,10.0,TURBIGO S.,Hydro Run-of-river and poundage,132.0
26WIMPI-0681897K,10YIT-GRTN-----B,0.0,POZZO MARANO,Wind Onshore,150.0
26WIMPI-S03CRNAM,10YIT-GRTN-----B,48.0,CARONA,Hydro Water Reservoir,132.0
26WIMPI-S16P2LNC,10YIT-GRTN-----B,20.0,PALINO 20MW,Wind Onshore,150.0
26WIMPI-S03PCSCZ,10YIT-GRTN-----B,10.0,POSCHIAVINO C.LE,Hydro Run-of-river and poundage,15.0
26WIMPI-0358706K,10YIT-GRTN-----B,32.0,PARCO EOLICO ALCAMO,Wind Onshore,150.0
26WIMPI-0752122B,10YIT-GRTN-----B,54.0,La Toppa 1,Wind Onshore,150.0
26WIMPI-S01CRTOP,10YIT-GRTN-----B,17.0,CROT,Hydro Run-of-river and poundage,132.0
26WIMPI-S09S2SST,10YIT-GRTN-----B,20.0,SASSO 2,Geothermal,132.0
26WIMPI-S08ESDS9,10YIT-GRTN-----B,137.0,SAN  QUIRICO,Fossil Gas,132.0
26WIMPI-S16R3CCA,10YIT-GRTN-----B,40.0,ROCCHETTA 3,Wind Onshore,150.0
26WIMPI-S19LAGRQ,10YIT-GRTN-----B,44.0,LAGO ARANCIO,Wind Onshore,220.0
26WIMYI-C16ETS1B,10YIT-GRTN-----B,30.0,TROIA SAN CIREO,Wind Onshore,150.0
26WIMPI-S10GLLT5,10YIT-GRTN-----B,166.0,GALLETO,Hydro Run-of-river and poundage,220.0
26WIMPI-S03SBNFX,10YIT-GRTN-----B,88.0,BOFFALORA,Fossil Gas,132.0
26WIMPI-1003453H,10YIT-GRTN-----B,19.0,Cassino Trigenerazione,Fossil Gas,150.0
26WIMPI-S04PRCMY,10YIT-GRTN-----B,35.0,PRACOMUNE,Hydro Pumped Storage,220.0
26WIMPI-S05CSTL3,10YIT-GRTN-----B,17.0,CASTELLETTO,Hydro Run-of-river and poundage,132.0
26WIMPI-S04CDCAV,10YIT-GRTN-----B,55.0,ALTO GARDA POWER SRL,Fossil Gas,132.0
26WIMPI-0599705G,10YIT-GRTN-----B,22.0,Parco Eolico Buseto,Wind Onshore,150.0
26WIMPI-S03RCSL7,10YIT-GRTN-----B,12.0,RESIO,Hydro Run-of-river and poundage,132.0
26WIMPI-0685590Q,10YIT-GRTN-----B,0.0,Circello - Piana Barone e Costa Pagliara,Wind Onshore,150.0
26WIMPI-S09IPNT0,10YIT-GRTN-----B,31.0,U.P. INTERECOGEN,Fossil Gas,132.0
26WIMPI-07692029,10YIT-GRTN-----B,39.0,BOSCOLEPIANE,Wind Onshore,150.0
26WIMPI-00419230,10YIT-GRTN-----B,26.0,CROCIMINUTI-MALUCUTRAZZO-IRTO SCURO,Wind Onshore,150.0
26WIMPI-C19PCRTF,10YIT-GRTN-----B,20.0,CAMPOREALE,Wind Onshore,150.0
26WIMPI-S01VTZZU,10YIT-GRTN-----B,31.0,VIZZOLA T.,Hydro Run-of-river and poundage,132.0
26WIMPI-S19PCRTZ,10YIT-GRTN-----B,16.0,PARTINICO,Wind Onshore,150.0
26WIMPI-S06MTNFA,10YIT-GRTN-----B,315.0,MONFALCONE,Fossil Hard coal,220.0
26WIMPI-S12CMNC0,10YIT-GRTN-----B,8.0,COMUNACQUA,Hydro Run-of-river and poundage,150.0
26WIMPI-S15FVFN7,10YIT-GRTN-----B,15.0,FOIANO VAL FORTORE,Wind Onshore,150.0
26WIMPI-0904006J,10YIT-GRTN-----B,16.0,Nova LT16 ,Fossil Gas,132.0
26WIMPI-S05PLSEK,10YIT-GRTN-----B,30.0,PELOS,Hydro Run-of-river and poundage,132.0
26WIMPI-S15L2CDB,10YIT-GRTN-----B,18.0,LACEDONIA 2,Wind Onshore,150.0
26WIMPI-S01BRDTV,10YIT-GRTN-----B,18.0,BARDONETTO,Hydro Run-of-river and poundage,132.0
26WIMPI-S01CEMPM,10YIT-GRTN-----B,16.0,Centrale idroelettrica Megolo e Ceppomorelli,Hydro Run-of-river and poundage,132.0
26WIMPI-S12GFRR3,10YIT-GRTN-----B,5.0,MANDELA,Hydro Run-of-river and poundage,150.0
26WIMPI-S18TECTL,10YIT-GRTN-----B,17.0,TERMOVALORIZZATORE CDR,Waste,150.0
26WIMPI-S01FDEIC,10YIT-GRTN-----B,10.0,FEDIO,Hydro Run-of-river and poundage,132.0
26WIMPI-S09M2NTZ,10YIT-GRTN-----B,0.0,MONTEVERDI 2,Geothermal,132.0
26WIMPI-S08PLCNW,10YIT-GRTN-----B,806.0,PIACENZA,Fossil Gas,380.0
26WIMPI-0766929D,10YIT-GRTN-----B,18.0,Burgentia Energia,Wind Onshore,150.0
26WIMPI-S03TRBGZ,10YIT-GRTN-----B,1079.0,TURBIGO,Other,380.0
26WIMPI-S08SERM2,10YIT-GRTN-----B,0.0,SARMATO,Fossil Gas,220.0
26WIMPI-S09SBRBU,10YIT-GRTN-----B,391.0,S.BARBARA,Fossil Gas,380.0
26WIMPI-S16DFNT2,10YIT-GRTN-----B,14.0, MONTAGNA FAETO,Wind Onshore,150.0
26WIMPI-0063022G,10YIT-GRTN-----B,15.0,Piano del Cornale,Wind Onshore,150.0
26WIMPI-0910443B,10YIT-GRTN-----B,17.0,SICULIANA1,Wind Onshore,150.0
26WIMPI-S03DSSO7,10YIT-GRTN-----B,43.0,DOSSI,Hydro Water Reservoir,132.0
26WIMPI-S04CGLO1,10YIT-GRTN-----B,98.0,COGOLO,Hydro Run-of-river and poundage,132.0
26WIMZI-S11JSEI0,10YIT-GRTN-----B,140.0,JESI,Other,132.0
26WIMPI-0475318P,10YIT-GRTN-----B,12.0,Biomassa Rignano,Biomass,150.0
26WIMPI-0420910Z,10YIT-GRTN-----B,400.0,ILVA TARANTO CET3,Fossil Coal-derived gas,220.0
26WIMPI-S19IEMMH,10YIT-GRTN-----B,22.0,MIMIANI,Wind Onshore,150.0
26WIMPI-ADDA2-1U,10YIT-GRTN-----B,42.0,EDIS ESTERLE,Hydro Run-of-river and poundage,132.0
26WIMPI-S18GRFCM,10YIT-GRTN-----B,30.0,GIRIFALCO-PEG,Wind Onshore,150.0
26WIMPI-S19PETSN,10YIT-GRTN-----B,66.0,TRAPANI-SALEMI,Wind Onshore,150.0
26WIMPI-00834908,10YIT-GRTN-----B,13.0,PRIOLO GARGALLO,Solar,150.0
26WIMPI-S02SGNYI,10YIT-GRTN-----B,42.0,SIGNAYES,Hydro Run-of-river and poundage,132.0
26WIMPI-S14ETEAI,10YIT-GRTN-----B,5.0,MASSERIA VINCELLI,Fossil Gas,20.0
26WIMPI-0222863M,10YIT-GRTN-----B,46.0,Impianto eolico di Cutro - località Rosito,Wind Onshore,150.0
26WIMPI-S17PERR6,10YIT-GRTN-----B,18.0,ROTONDELLA,Wind Onshore,150.0
26WIMPI-01325337,10YIT-GRTN-----B,58.0,SAN MARTINO IN PENSILIS,Wind Onshore,150.0
26WIMPI-S05SCTIU,10YIT-GRTN-----B,18.0,SICET,Biomass,132.0
26WIMPI-S15SNSVU,10YIT-GRTN-----B,30.0,CER CASTELFRANCO,Wind Onshore,150.0
26WIMPI-S14NAVCV,10YIT-GRTN-----B,38.0,NUOVA ACQUASPRUZZA,Wind Onshore,150.0
26WIMPI-00680951,10YIT-GRTN-----B,20.0,Parco eolico Santomenna,Wind Onshore,150.0
26WIMPI-S16PIGGE,10YIT-GRTN-----B,30.0,POGGIO IMPERIALE,Wind Onshore,150.0
26WIMPI-0902042P,10YIT-GRTN-----B,40.0,CMM Castel Fraiano IR1,Wind Onshore,150.0
26WIMPI-01218085,10YIT-GRTN-----B,31.0,ALFONSINE,Solar,132.0
26WIMPI-C19CCRLM,10YIT-GRTN-----B,24.0,CARLENTINI  ,Wind Onshore,150.0
26WIMYI-0157750B,10YIT-GRTN-----B,11.0,De Nittis 2,Solar,150.0
26WIMPI-S13CTTM2,10YIT-GRTN-----B,115.0,CTE TAMARETE,Fossil Gas,150.0
26WIMPI-S16AMLBV,10YIT-GRTN-----B,26.0,ALBERONA MEZZANELLE,Wind Onshore,150.0
26WIMPI-06838070,10YIT-GRTN-----B,12.0,Baselice EDENS,Wind Onshore,150.0
26WIMPI-0765244D,10YIT-GRTN-----B,10.0,Bisaccia,Wind Onshore,150.0
26WIMPI-S18RCZZW,10YIT-GRTN-----B,768.0,RIZZICONI,Fossil Gas,380.0
26WIMPI-S05ESPRU,10YIT-GRTN-----B,65.0,EMMEZETA SOLAR PARK ROVIGO,Solar,132.0
26WIMPI-S01BTTG1,10YIT-GRTN-----B,20.0,BATTIGGIO,Hydro Run-of-river and poundage,60.0
26WIMPI-S03SRCOL,10YIT-GRTN-----B,16.0,C.T.E.C.,Fossil Gas,15.0
26WIMPI-S04MSCRZ,10YIT-GRTN-----B,40.0,MASOCORONA,Hydro Water Reservoir,132.0
26WIMPI-07655506,10YIT-GRTN-----B,54.0,Tricarico C&C,Wind Onshore,150.0
26WIMPI-S04CTNB6,10YIT-GRTN-----B,18.0,RIO RIVA,Hydro Run-of-river and poundage,20.0
26WIMPI-S13S2GCF,10YIT-GRTN-----B,490.0,S.GIACOMO,Other,380.0
26WIMPI-S13MNTFR,10YIT-GRTN-----B,69.0,MONTEFERRANTE,Wind Onshore,150.0
26WIMPI-S09S1LVB,10YIT-GRTN-----B,19.0,SELVA 1,Geothermal,132.0
26WIMPI-S03XMCMK,10YIT-GRTN-----B,164.0,MESE,Hydro Run-of-river and poundage,132.0
26WIMPI-S01ACTV7,10YIT-GRTN-----B,50.0,ACTV,Fossil Gas,132.0
26WIMPI-S09P5NC5,10YIT-GRTN-----B,20.0,PIANCASTAGNAIO 5,Geothermal,132.0
26WIMPI-S03BRDG8,10YIT-GRTN-----B,48.0,BORDOGNA,Hydro Run-of-river and poundage,132.0
26WIMPI-S07CERNC,10YIT-GRTN-----B,22.0,CAIRO,Fossil Coal-derived gas,132.0
26WIMPI-S13PRVVW,10YIT-GRTN-----B,139.0,PROVVIDENZA,Hydro Pumped Storage,220.0
26WIMPI-0179228R,10YIT-GRTN-----B,37.0,Eurowindordona,Wind Onshore,150.0
26WIMPIOVESCA-1G,10YIT-GRTN-----B,43.0,ROVESCA,Hydro Water Reservoir,132.0
26WIMPI-0304834O,10YIT-GRTN-----B,20.0,Nebrodi Est,Wind Onshore,150.0
26WIMPI-S06PGNTJ,10YIT-GRTN-----B,18.0,PONTE GIULIO,Hydro Run-of-river and poundage,132.0
26WIMPIVELINO-1Q,10YIT-GRTN-----B,295.0,GALLETO,Hydro Run-of-river and poundage,220.0
26WIMPI-S01PVNTQ,10YIT-GRTN-----B,150.0,PONT VENTOUX,Other,132.0
26WIMZI-S01BVRG0,10YIT-GRTN-----B,140.0,VERZUOLO,Other,132.0
26WIMPI-B16CRST6,10YIT-GRTN-----B,20.0,BUGLIA,Wind Onshore,150.0
26WIMPI-S01FUNS8,10YIT-GRTN-----B,18.0,FENESTRELLE,Hydro Run-of-river and poundage,132.0
26WIMPI-S02ISLLF,10YIT-GRTN-----B,32.0,ISOLLAZ,Hydro Run-of-river and poundage,132.0
26WIMPI-S20SCLC8,10YIT-GRTN-----B,432.0,SULCIS CENTR,Fossil Hard coal,220.0
26WIMPI-S16CLVCU,10YIT-GRTN-----B,14.0,COLAVECCHI - COLOVE',Wind Onshore,150.0
26WIMPI-N09SLMRD,10YIT-GRTN-----B,39.0,NUOVA SAN MARTINO,Geothermal,132.0
26WIMPI-S20STMRI,10YIT-GRTN-----B,33.0,SA TURRINA MANNA,Wind Onshore,150.0
26WIMPI-05898537,10YIT-GRTN-----B,32.0,SERRA DI CRISTO,Wind Onshore,150.0
26WIMPI-S05PMNT1,10YIT-GRTN-----B,8.0,PONTE MALON,Hydro Run-of-river and poundage,132.0
26WIMPI-S14SGIGD,10YIT-GRTN-----B,13.0,SAN GIOVANNI IN GALDO,Wind Onshore,20.0
26WIMPI-S18SSNSD,10YIT-GRTN-----B,79.0,SAN SOSTENE,Wind Onshore,150.0
26WIMPI-S05AZTT6,10YIT-GRTN-----B,236.0,AZOTATI,Fossil Gas,220.0
26WIMPI-0456524T,10YIT-GRTN-----B,15.0,Torrent,Hydro Run-of-river and poundage,132.0
26WIMPIGROSIO-11,10YIT-GRTN-----B,655.0,GROSIO,Hydro Run-of-river and poundage,220.0
26WIMPI-0301899B,10YIT-GRTN-----B,20.0,Nebrodi Ovest,Wind Onshore,150.0
26WIMPI-S15LCDAB,10YIT-GRTN-----B,15.0,LACEDONIA CERRELLO,Wind Onshore,150.0
